mu	singleton_count	variant_count	ps
9.1862e-10	3797	6092	6.2328e-01
9.4166e-10	2490	3949	6.3054e-01
9.4450e-10	1581	2587	6.1113e-01
1.0244e-09	1191	2059	5.7844e-01
1.0495e-09	1220	2054	5.9396e-01
1.0670e-09	1024	1618	6.3288e-01
1.0799e-09	3277	5218	6.2802e-01
1.0818e-09	2544	4071	6.2491e-01
1.0943e-09	493	825	5.9758e-01
1.1340e-09	4251	6832	6.2222e-01
1.1486e-09	1205	1960	6.1480e-01
1.1632e-09	9258	15155	6.1089e-01
1.1890e-09	696	1172	5.9386e-01
1.2103e-09	2519	4149	6.0713e-01
1.2532e-09	6348	10582	5.9989e-01
1.3516e-09	2015	3296	6.1135e-01
1.3560e-09	354	586	6.0410e-01
1.3911e-09	409	668	6.1228e-01
1.4118e-09	3624	5993	6.0471e-01
1.4983e-09	4179	6828	6.1204e-01
1.6210e-09	15903	26472	6.0075e-01
1.6675e-09	6167	10243	6.0207e-01
1.7092e-09	4014	6743	5.9528e-01
1.7760e-09	14221	23898	5.9507e-01
1.8172e-09	2083	3361	6.1976e-01
1.8303e-09	1093	1810	6.0387e-01
1.8485e-09	5180	8991	5.7613e-01
1.8684e-09	1704	2770	6.1516e-01
1.8687e-09	887	1415	6.2686e-01
1.9615e-09	5657	9517	5.9441e-01
2.0008e-09	1775	2977	5.9624e-01
2.0022e-09	2729	4609	5.9210e-01
2.1414e-09	8711	14680	5.9339e-01
2.1462e-09	11271	19374	5.8176e-01
2.2808e-09	4176	6920	6.0347e-01
2.3044e-09	2236	3765	5.9389e-01
2.3099e-09	7395	12366	5.9801e-01
2.3466e-09	3147	5189	6.0648e-01
2.3710e-09	3500	5944	5.8883e-01
2.4639e-09	886	1455	6.0893e-01
2.5440e-09	6546	11079	5.9085e-01
2.5995e-09	7865	13353	5.8901e-01
2.6557e-09	3214	5430	5.9190e-01
2.6842e-09	8746	14894	5.8722e-01
2.9242e-09	1101	1896	5.8070e-01
2.9409e-09	2746	4592	5.9800e-01
3.0181e-09	9437	16292	5.7924e-01
3.0275e-09	9988	17594	5.6769e-01
3.0288e-09	16675	29591	5.6352e-01
3.1245e-09	13879	23394	5.9327e-01
3.2054e-09	13063	22311	5.8550e-01
3.3394e-09	8253	14336	5.7568e-01
3.5919e-09	5460	9544	5.7209e-01
3.7538e-09	6425	11103	5.7867e-01
3.8238e-09	19545	34612	5.6469e-01
3.9291e-09	26294	46177	5.6942e-01
3.9695e-09	4626	8111	5.7034e-01
4.1342e-09	10503	18575	5.6544e-01
4.2353e-09	7691	13283	5.7901e-01
4.9426e-09	1899	3541	5.3629e-01
5.0796e-09	20858	37773	5.5219e-01
5.1503e-09	6916	12158	5.6884e-01
5.1781e-09	12144	21664	5.6056e-01
5.1901e-09	13243	24129	5.4884e-01
5.2348e-09	40911	73833	5.5410e-01
5.2457e-09	16050	30546	5.2544e-01
5.3443e-09	9524	16803	5.6680e-01
5.3627e-09	13586	25365	5.3562e-01
5.5213e-09	3882	7135	5.4408e-01
5.5597e-09	41353	73225	5.6474e-01
5.7034e-09	1688	3015	5.5987e-01
5.7989e-09	34938	62501	5.5900e-01
6.1812e-09	8890	16501	5.3876e-01
6.6879e-09	3678	6614	5.5609e-01
6.7244e-09	51312	91387	5.6148e-01
6.8845e-09	33582	60311	5.5681e-01
7.6664e-09	30170	56064	5.3813e-01
7.7544e-09	19607	40076	4.8925e-01
7.7891e-09	47501	86656	5.4816e-01
7.9566e-09	34869	63831	5.4627e-01
8.1422e-09	63196	115911	5.4521e-01
8.5724e-09	33822	63082	5.3616e-01
8.6359e-09	26230	49392	5.3106e-01
8.8520e-09	11356	21524	5.2760e-01
9.3201e-09	39184	72660	5.3928e-01
9.9720e-09	27191	51473	5.2826e-01
1.1196e-08	16211	32879	4.9305e-01
1.1275e-08	42337	84254	5.0249e-01
1.4846e-08	2674	6053	4.4176e-01
1.9329e-08	1590	3561	4.4650e-01
2.0993e-08	3963	9261	4.2792e-01
2.6612e-08	1997	4725	4.2265e-01
7.0178e-08	1093	3634	3.0077e-01
7.2389e-08	763	2982	2.5587e-01
8.2387e-08	1558	6147	2.5346e-01
1.0005e-07	10241	71805	1.4262e-01
1.0750e-07	1062	5220	2.0345e-01
1.2296e-07	10136	83246	1.2176e-01
1.2483e-07	12718	124760	1.0194e-01
1.4169e-07	8162	93101	8.7668e-02
