mu	singleton_count	variant_count	ps
9.1862e-10	597	935	6.3850e-01
9.4166e-10	420	602	6.9767e-01
9.4450e-10	245	373	6.5684e-01
1.0244e-09	207	370	5.5946e-01
1.0495e-09	200	342	5.8480e-01
1.0670e-09	143	232	6.1638e-01
1.0799e-09	489	789	6.1977e-01
1.0818e-09	402	601	6.6889e-01
1.0943e-09	83	150	5.5333e-01
1.1340e-09	680	1021	6.6601e-01
1.1486e-09	186	306	6.0784e-01
1.1632e-09	1470	2306	6.3747e-01
1.1890e-09	90	164	5.4878e-01
1.2103e-09	354	624	5.6731e-01
1.2532e-09	1035	1662	6.2274e-01
1.3516e-09	293	513	5.7115e-01
1.3560e-09	64	90	7.1111e-01
1.3911e-09	66	104	6.3462e-01
1.4118e-09	597	944	6.3242e-01
1.4983e-09	661	1067	6.1949e-01
1.6210e-09	2451	4027	6.0864e-01
1.6675e-09	975	1588	6.1398e-01
1.7092e-09	689	1062	6.4878e-01
1.7760e-09	2324	3786	6.1384e-01
1.8172e-09	320	489	6.5440e-01
1.8303e-09	182	297	6.1279e-01
1.8485e-09	923	1588	5.8123e-01
1.8684e-09	265	393	6.7430e-01
1.8687e-09	139	219	6.3470e-01
1.9615e-09	912	1495	6.1003e-01
2.0008e-09	319	471	6.7728e-01
2.0022e-09	455	766	5.9399e-01
2.1414e-09	1378	2232	6.1738e-01
2.1462e-09	2018	3120	6.4679e-01
2.2808e-09	702	1125	6.2400e-01
2.3044e-09	404	597	6.7672e-01
2.3099e-09	1240	1911	6.4887e-01
2.3466e-09	520	820	6.3415e-01
2.3710e-09	608	966	6.2940e-01
2.4639e-09	121	206	5.8738e-01
2.5440e-09	1090	1747	6.2393e-01
2.5995e-09	1356	2089	6.4911e-01
2.6557e-09	554	846	6.5485e-01
2.6842e-09	1457	2332	6.2479e-01
2.9242e-09	169	273	6.1905e-01
2.9409e-09	469	695	6.7482e-01
3.0181e-09	1666	2790	5.9713e-01
3.0275e-09	1846	2876	6.4186e-01
3.0288e-09	3037	5037	6.0294e-01
3.1245e-09	2182	3618	6.0310e-01
3.2054e-09	2207	3568	6.1855e-01
3.3394e-09	1474	2322	6.3480e-01
3.5919e-09	941	1517	6.2030e-01
3.7538e-09	1052	1637	6.4264e-01
3.8238e-09	3582	6149	5.8253e-01
3.9291e-09	4615	7663	6.0224e-01
3.9695e-09	749	1318	5.6829e-01
4.1342e-09	1896	3151	6.0171e-01
4.2353e-09	1335	2209	6.0435e-01
4.9426e-09	368	629	5.8506e-01
5.0796e-09	3766	6690	5.6293e-01
5.1503e-09	1276	1983	6.4347e-01
5.1781e-09	2174	3697	5.8804e-01
5.1901e-09	2693	4344	6.1994e-01
5.2348e-09	7523	13118	5.7349e-01
5.2457e-09	3266	5544	5.8911e-01
5.3443e-09	1694	2868	5.9066e-01
5.3627e-09	2642	4352	6.0708e-01
5.5213e-09	718	1264	5.6804e-01
5.5597e-09	7388	11838	6.2409e-01
5.7034e-09	301	479	6.2839e-01
5.7989e-09	6410	10146	6.3178e-01
6.1812e-09	1678	2882	5.8223e-01
6.6879e-09	650	1082	6.0074e-01
6.7244e-09	9353	14921	6.2683e-01
6.8845e-09	6090	9840	6.1890e-01
7.6664e-09	5680	9553	5.9458e-01
7.7544e-09	4500	7905	5.6926e-01
7.7891e-09	8795	14386	6.1136e-01
7.9566e-09	6436	10646	6.0455e-01
8.1422e-09	11793	19350	6.0946e-01
8.5724e-09	6579	10768	6.1098e-01
8.6359e-09	5166	8410	6.1427e-01
8.8520e-09	2250	3579	6.2867e-01
9.3201e-09	7501	12164	6.1666e-01
9.9720e-09	5378	8780	6.1253e-01
1.1196e-08	3737	6286	5.9450e-01
1.1275e-08	9263	15970	5.8003e-01
1.4846e-08	703	1176	5.9779e-01
1.9329e-08	386	706	5.4674e-01
2.0993e-08	1063	1850	5.7459e-01
2.6612e-08	541	1008	5.3671e-01
7.0178e-08	487	1094	4.4516e-01
7.2389e-08	394	936	4.2094e-01
8.2387e-08	930	2150	4.3256e-01
1.0005e-07	13017	24663	5.2779e-01
1.0750e-07	782	1992	3.9257e-01
1.2296e-07	15745	31085	5.0651e-01
1.2483e-07	24385	49014	4.9751e-01
1.4169e-07	18803	38873	4.8370e-01
