mu	singleton_count	variant_count	ps
9.1862e-10	3626	5811	6.2399e-01
9.4166e-10	2383	3755	6.3462e-01
9.4450e-10	1503	2477	6.0678e-01
1.0244e-09	1136	1977	5.7461e-01
1.0495e-09	1176	1974	5.9574e-01
1.0670e-09	989	1557	6.3520e-01
1.0799e-09	3136	4993	6.2808e-01
1.0818e-09	2425	3888	6.2371e-01
1.0943e-09	476	794	5.9950e-01
1.1340e-09	4039	6518	6.1967e-01
1.1486e-09	1158	1878	6.1661e-01
1.1632e-09	8830	14488	6.0947e-01
1.1890e-09	667	1126	5.9236e-01
1.2103e-09	2415	3981	6.0663e-01
1.2532e-09	6128	10165	6.0285e-01
1.3516e-09	1926	3164	6.0872e-01
1.3560e-09	346	561	6.1676e-01
1.3911e-09	391	638	6.1285e-01
1.4118e-09	3459	5728	6.0388e-01
1.4983e-09	4030	6551	6.1517e-01
1.6210e-09	15334	25448	6.0256e-01
1.6675e-09	5883	9791	6.0086e-01
1.7092e-09	3829	6441	5.9447e-01
1.7760e-09	13664	22935	5.9577e-01
1.8172e-09	1989	3211	6.1943e-01
1.8303e-09	1038	1726	6.0139e-01
1.8485e-09	4972	8634	5.7586e-01
1.8684e-09	1628	2646	6.1527e-01
1.8687e-09	849	1351	6.2842e-01
1.9615e-09	5435	9128	5.9542e-01
2.0008e-09	1720	2861	6.0119e-01
2.0022e-09	2616	4408	5.9347e-01
2.1414e-09	8421	14126	5.9613e-01
2.1462e-09	10833	18561	5.8364e-01
2.2808e-09	4009	6625	6.0513e-01
2.3044e-09	2136	3590	5.9499e-01
2.3099e-09	7078	11837	5.9796e-01
2.3466e-09	2986	4940	6.0445e-01
2.3710e-09	3369	5690	5.9209e-01
2.4639e-09	857	1404	6.1040e-01
2.5440e-09	6283	10617	5.9179e-01
2.5995e-09	7524	12769	5.8924e-01
2.6557e-09	3089	5200	5.9404e-01
2.6842e-09	8394	14285	5.8761e-01
2.9242e-09	1059	1825	5.8027e-01
2.9409e-09	2613	4379	5.9671e-01
3.0181e-09	9074	15622	5.8085e-01
3.0275e-09	9684	16914	5.7254e-01
3.0288e-09	16066	28436	5.6499e-01
3.1245e-09	13319	22442	5.9349e-01
3.2054e-09	12521	21412	5.8477e-01
3.3394e-09	7907	13732	5.7581e-01
3.5919e-09	5276	9185	5.7441e-01
3.7538e-09	6210	10680	5.8146e-01
3.8238e-09	18859	33245	5.6727e-01
3.9291e-09	25408	44393	5.7234e-01
3.9695e-09	4501	7842	5.7396e-01
4.1342e-09	10108	17828	5.6697e-01
4.2353e-09	7381	12744	5.7917e-01
4.9426e-09	1845	3405	5.4185e-01
5.0796e-09	20193	36352	5.5549e-01
5.1503e-09	6678	11655	5.7297e-01
5.1781e-09	11738	20823	5.6370e-01
5.1901e-09	12941	23124	5.5964e-01
5.2348e-09	39401	70923	5.5555e-01
5.2457e-09	15558	29446	5.2836e-01
5.3443e-09	9167	16169	5.6695e-01
5.3627e-09	13147	24438	5.3797e-01
5.5213e-09	3751	6866	5.4632e-01
5.5597e-09	39936	70427	5.6706e-01
5.7034e-09	1648	2908	5.6671e-01
5.7989e-09	33759	60089	5.6182e-01
6.1812e-09	8610	15909	5.4120e-01
6.6879e-09	3547	6380	5.5596e-01
6.7244e-09	49452	87826	5.6307e-01
6.8845e-09	32482	58037	5.5968e-01
7.6664e-09	29187	53988	5.4062e-01
7.7544e-09	19053	38730	4.9194e-01
7.7891e-09	45936	83429	5.5060e-01
7.9566e-09	33674	61446	5.4803e-01
8.1422e-09	61169	111661	5.4781e-01
8.5724e-09	32757	60759	5.3913e-01
8.6359e-09	25451	47648	5.3415e-01
8.8520e-09	11056	20744	5.3297e-01
9.3201e-09	37871	69974	5.4122e-01
9.9720e-09	26423	49669	5.3198e-01
1.1196e-08	15734	31739	4.9573e-01
1.1275e-08	41088	81227	5.0584e-01
1.4846e-08	2618	5873	4.4577e-01
1.9329e-08	1563	3456	4.5226e-01
2.0993e-08	3890	8996	4.3241e-01
2.6612e-08	1975	4597	4.2963e-01
7.0178e-08	1093	3563	3.0676e-01
7.2389e-08	770	2931	2.6271e-01
8.2387e-08	1577	6042	2.6101e-01
1.0005e-07	10735	71036	1.5112e-01
1.0750e-07	1069	5143	2.0786e-01
1.2296e-07	10759	82511	1.3039e-01
1.2483e-07	13581	123877	1.0963e-01
1.4169e-07	8810	92524	9.5219e-02
