mu	singleton_count	variant_count	ps
9.1862e-10	3476	5536	6.2789e-01
9.4166e-10	2272	3578	6.3499e-01
9.4450e-10	1451	2342	6.1956e-01
1.0244e-09	1106	1869	5.9176e-01
1.0495e-09	1131	1882	6.0096e-01
1.0670e-09	929	1473	6.3069e-01
1.0799e-09	3033	4774	6.3532e-01
1.0818e-09	2346	3733	6.2845e-01
1.0943e-09	463	764	6.0602e-01
1.1340e-09	3897	6230	6.2552e-01
1.1486e-09	1113	1793	6.2075e-01
1.1632e-09	8498	13788	6.1633e-01
1.1890e-09	641	1074	5.9683e-01
1.2103e-09	2323	3810	6.0971e-01
1.2532e-09	5873	9684	6.0646e-01
1.3516e-09	1843	2999	6.1454e-01
1.3560e-09	332	543	6.1142e-01
1.3911e-09	387	603	6.4179e-01
1.4118e-09	3383	5517	6.1320e-01
1.4983e-09	3839	6252	6.1404e-01
1.6210e-09	14672	24217	6.0586e-01
1.6675e-09	5735	9420	6.0881e-01
1.7092e-09	3730	6179	6.0366e-01
1.7760e-09	13117	21879	5.9952e-01
1.8172e-09	1889	3040	6.2138e-01
1.8303e-09	1000	1657	6.0350e-01
1.8485e-09	4797	8188	5.8586e-01
1.8684e-09	1540	2502	6.1551e-01
1.8687e-09	807	1281	6.2998e-01
1.9615e-09	5216	8702	5.9940e-01
2.0008e-09	1645	2717	6.0545e-01
2.0022e-09	2529	4230	5.9787e-01
2.1414e-09	7993	13410	5.9605e-01
2.1462e-09	10504	17754	5.9164e-01
2.2808e-09	3797	6306	6.0212e-01
2.3044e-09	2081	3448	6.0354e-01
2.3099e-09	6838	11267	6.0691e-01
2.3466e-09	2924	4718	6.1975e-01
2.3710e-09	3280	5460	6.0073e-01
2.4639e-09	800	1314	6.0883e-01
2.5440e-09	6061	10161	5.9650e-01
2.5995e-09	7262	12229	5.9383e-01
2.6557e-09	3011	4978	6.0486e-01
2.6842e-09	8105	13649	5.9382e-01
2.9242e-09	1007	1733	5.8107e-01
2.9409e-09	2537	4190	6.0549e-01
3.0181e-09	8750	14932	5.8599e-01
3.0275e-09	9371	16213	5.7799e-01
3.0288e-09	15524	27242	5.6986e-01
3.1245e-09	12820	21379	5.9965e-01
3.2054e-09	11972	20373	5.8764e-01
3.3394e-09	7762	13207	5.8772e-01
3.5919e-09	5071	8780	5.7756e-01
3.7538e-09	5991	10218	5.8632e-01
3.8238e-09	18176	31836	5.7093e-01
3.9291e-09	24518	42533	5.7645e-01
3.9695e-09	4233	7383	5.7334e-01
4.1342e-09	9760	17059	5.7213e-01
4.2353e-09	7095	12171	5.8294e-01
4.9426e-09	1801	3292	5.4708e-01
5.0796e-09	19459	34801	5.5915e-01
5.1503e-09	6497	11151	5.8264e-01
5.1781e-09	11438	19984	5.7236e-01
5.1901e-09	12476	22217	5.6155e-01
5.2348e-09	38298	68071	5.6262e-01
5.2457e-09	15103	28267	5.3430e-01
5.3443e-09	8829	15425	5.7238e-01
5.3627e-09	12775	23448	5.4482e-01
5.5213e-09	3625	6591	5.4999e-01
5.5597e-09	38375	67148	5.7150e-01
5.7034e-09	1562	2759	5.6615e-01
5.7989e-09	32654	57570	5.6721e-01
6.1812e-09	8429	15296	5.5106e-01
6.6879e-09	3398	6066	5.6017e-01
6.7244e-09	47968	84166	5.6992e-01
6.8845e-09	31403	55484	5.6598e-01
7.6664e-09	28377	51897	5.4679e-01
7.7544e-09	18572	37319	4.9766e-01
7.7891e-09	44343	79878	5.5513e-01
7.9566e-09	32730	58924	5.5546e-01
8.1422e-09	59281	106966	5.5420e-01
8.5724e-09	31880	58431	5.4560e-01
8.6359e-09	24676	45655	5.4049e-01
8.8520e-09	10781	19918	5.4127e-01
9.3201e-09	36961	67263	5.4950e-01
9.9720e-09	25532	47582	5.3659e-01
1.1196e-08	15312	30491	5.0218e-01
1.1275e-08	40199	78293	5.1344e-01
1.4846e-08	2611	5675	4.6009e-01
1.9329e-08	1545	3336	4.6313e-01
2.0993e-08	3827	8663	4.4176e-01
2.6612e-08	1941	4449	4.3628e-01
7.0178e-08	1077	3472	3.1020e-01
7.2389e-08	778	2879	2.7023e-01
8.2387e-08	1571	5926	2.6510e-01
1.0005e-07	11542	70275	1.6424e-01
1.0750e-07	1091	5070	2.1519e-01
1.2296e-07	11444	81651	1.4016e-01
1.2483e-07	14720	122819	1.1985e-01
1.4169e-07	9608	91833	1.0462e-01
